序号,门类、专业类,专业代码,专业名称,"学位授予门类",修业年限,"增设年度"
519,生物医学工程类,082603T,临床工程技术,工学,四年,2016
520,生物医学工程类,082604T,康复工程,工学,四年,2019
521,食品科学与工程类,082701,食品科学与工程,"农学,工学",四年,
522,食品科学与工程类,082702,食品质量与安全,工学,四年,
523,食品科学与工程类,082703,粮食工程,工学,四年,
524,食品科学与工程类,082704,乳品工程,工学,四年,
525,食品科学与工程类,082705,酿酒工程,工学,四年,
526,食品科学与工程类,082706T,葡萄与葡萄酒工程,工学,四年,
527,食品科学与工程类,082707T,食品营养与检验教育,工学,四年,
528,食品科学与工程类,082708T,烹饪与营养教育,工学,四年,
529,食品科学与工程类,082709T,食品安全与检测,工学,四年,2016
530,食品科学与工程类,082710T,食品营养与健康,工学,四年,2019
531,食品科学与工程类,082711T,食用菌科学与工程,工学,四年,2019
532,食品科学与工程类,082712T,白酒酿造工程,工学,四年,2019
533,建筑类,082801,建筑学,工学,"五年,四年",
534,建筑类,082802,城乡规划,工学,"五年,四年",
535,建筑类,082803,风景园林,"艺术学,工学","五年,四年",
536,建筑类,082804T,历史建筑保护工程,工学,"五年,四年",
537,建筑类,082805T,人居环境科学与技术,工学,四年,2017
538,建筑类,082806T,城市设计,工学,四年,2019
539,建筑类,082807T,智慧建筑与建造,工学,四年,2019
540,安全科学与工程类,082901,安全工程,工学,四年,
541,安全科学与工程类,082902T,应急技术与管理,工学,四年,2018
542,安全科学与工程类,082903T,职业卫生工程,工学,四年,2018
543,安全科学与工程类,082904T,安全生产监管,工学,四年,2022
544,生物工程类,083001,生物工程,工学,四年,
545,生物工程类,083002T,生物制药,工学,四年,
546,生物工程类,083003T,合成生物学,工学,四年,2019
547,公安技术类,083101K,刑事科学技术,工学,四年,
548,公安技术类,083102K,消防工程,工学,四年,
549,公安技术类,083103TK,交通管理工程,工学,四年,
550,公安技术类,083104TK,安全防范工程,工学,四年,
551,公安技术类,083105TK,公安视听技术,工学,四年,
552,公安技术类,083106TK,抢险救援指挥与技术,工学,四年,
553,公安技术类,083107TK,火灾勘查,工学,四年,
554,公安技术类,083108TK,网络安全与执法,工学,四年,
555,公安技术类,083109TK,核生化消防,工学,四年,
556,公安技术类,083110TK,海警舰艇指挥与技术,工学,四年,2015
557,公安技术类,083111TK,数据警务技术,工学,四年,2018
558,公安技术类,083112TK,"食品药品环境犯罪侦查技术",工学,四年,2020
559,交叉工程类,083201TK,未来机器人,工学,四年,2022
560,植物生产类,090101,农学,农学,四年,
561,植物生产类,090102,园艺,农学,四年,
562,植物生产类,090103,植物保护,农学,四年,
563,植物生产类,090104,植物科学与技术,农学,四年,
564,植物生产类,090105,种子科学与工程,农学,四年,
565,植物生产类,090106,设施农业科学与工程,"工学,农学",四年,
566,植物生产类,090107T,茶学,农学,四年,
567,植物生产类,090108T,烟草,农学,四年,
568,植物生产类,090109T,应用生物科学,"理学,农学",四年,
569,植物生产类,090110T,农艺教育,农学,四年,
570,植物生产类,090111T,园艺教育,农学,四年,
571,植物生产类,090112T,智慧农业,农学,四年,2019
572,植物生产类,090113T,菌物科学与工程,农学,四年,2019
573,植物生产类,090114T,农药化肥,农学,四年,2019
574,植物生产类,090115T,生物农药科学与工程,农学,四年,2020
575,植物生产类,090116TK,生物育种科学,理学,四年,2021
576,自然保护与环境生态类,090201,农业资源与环境,农学,四年,
577,自然保护与环境生态类,090202,"野生动物与自然保护区管理",农学,四年,
578,自然保护与环境生态类,090203,水土保持与荒漠化防治,农学,四年,
579,自然保护与环境生态类,090204T,生物质科学与工程,农学,四年,2019
580,自然保护与环境生态类,090205T,土地科学与技术,农学,四年,2020
581,自然保护与环境生态类,090206T,湿地保护与恢复,农学,四年,2021
582,自然保护与环境生态类,090207TK,国家公园建设与管理,"农学,管理学",四年,2022
583,动物生产类,090301,动物科学,农学,四年,
584,动物生产类,090302T,蚕学,农学,四年,
585,动物生产类,090303T,蜂学,农学,四年,
586,动物生产类,090304T,经济动物学,农学,四年,2018
587,动物生产类,090305T,马业科学,农学,四年,2018
588,动物生产类,090306T,饲料工程,"农学,工学",四年,2020
589,动物生产类,090307T,智慧牧业科学与工程,农学,四年,2020
590,动物医学类,090401,动物医学,农学,"五年,四年",
591,动物医学类,090402,动物药学,农学,"五年,四年",
592,动物医学类,090403T,动植物检疫,"理学,农学",四年,
593,动物医学类,090404T,实验动物学,农学,四年,2017
594,动物医学类,090405T,中兽医学,农学,四年,2018
595,动物医学类,090406TK,兽医公共卫生,农学,五年,2020
596,林学类,090501,林学,农学,四年,
597,林学类,090502,园林,农学,四年,
598,林学类,090503,森林保护,农学,四年,
599,林学类,090504T,经济林,农学,四年,2018
600,林学类,090505T,智慧林业,农学,四年,2021
601,水产类,090601,水产养殖学,农学,四年,
602,水产类,090602,海洋渔业科学与技术,农学,四年,
603,水产类,090603T,水族科学与技术,农学,四年,
604,水产类,090604TK,水生动物医学,农学,四年,2012
605,草学类,090701,草业科学,农学,四年,
606,草学类,090702T,草坪科学与工程,农学,四年,2019
607,基础医学类,100101K,基础医学,医学,五年,
608,基础医学类,100102TK,生物医学,理学,四年,2012
609,基础医学类,100103T,生物医学科学,理学,四年,2015
610,临床医学类,100201K,临床医学,医学,五年,
611,临床医学类,100202TK,麻醉学,医学,五年,
612,临床医学类,100203TK,医学影像学,医学,五年,
613,临床医学类,100204TK,眼视光医学,医学,五年,
614,临床医学类,100205TK,精神医学,医学,五年,
615,临床医学类,100206TK,放射医学,医学,五年,
616,临床医学类,100207TK,儿科学,医学,五年,2015
617,口腔医学类,100301K,口腔医学,医学,五年,
618,公共卫生与预防医学类,100401K,预防医学,医学,五年,
619,公共卫生与预防医学类,100402,食品卫生与营养学,理学,四年,
620,公共卫生与预防医学类,100403TK,妇幼保健医学,医学,五年,
621,公共卫生与预防医学类,100404TK,卫生监督,医学,五年,
622,公共卫生与预防医学类,100405TK,全球健康学,理学,四年,
623,公共卫生与预防医学类,100406T,运动与公共健康,理学,四年,2020
624,中医学类,100501K,中医学,医学,五年,
625,中医学类,100502K,针灸推拿学,医学,五年,
626,中医学类,100503K,藏医学,医学,五年,
627,中医学类,100504K,蒙医学,医学,五年,
628,中医学类,100505K,维医学,医学,五年,
629,中医学类,100506K,壮医学,医学,五年,
630,中医学类,100507K,哈医学,医学,五年,
631,中医学类,100508TK,傣医学,医学,五年,2012
632,中医学类,100509TK,回医学,医学,五年,2015
633,中医学类,100510TK,中医康复学,医学,五年,2016
634,中医学类,100511TK,中医养生学,医学,五年,2016
635,中医学类,100512TK,中医儿科学,医学,五年,2016
636,中医学类,100513TK,中医骨伤科学,医学,五年,2018
637,中西医结合类,100601K,中西医临床医学,医学,五年,
638,药学类,100701,药学,理学,四年,
639,药学类,100702,药物制剂,理学,四年,
640,药学类,100703TK,临床药学,理学,"五年,四年",
641,药学类,100704T,药事管理,理学,四年,
642,药学类,100705T,药物分析,理学,四年,
643,药学类,100706T,药物化学,理学,四年,
644,药学类,100707T,海洋药学,理学,四年,
645,药学类,100708T,化妆品科学与技术,理学,四年,2018
646,中药学类,100801,中药学,理学,四年,
647,中药学类,100802,中药资源与开发,理学,四年,
648,中药学类,100803T,藏药学,理学,"五年,四年",
649,中药学类,100804T,蒙药学,理学,四年,
650,中药学类,100805T,中药制药,"工学,理学",四年,
651,中药学类,100806T,中草药栽培与鉴定,理学,四年,
652,法医学类,100901K,法医学,医学,五年,
653,医学技术类,101001,医学检验技术,理学,四年,
654,医学技术类,101002,医学实验技术,理学,四年,
655,医学技术类,101003,医学影像技术,理学,四年,
656,医学技术类,101004,眼视光学,理学,四年,
657,医学技术类,101005,康复治疗学,理学,四年,
658,医学技术类,101006,口腔医学技术,理学,四年,
659,医学技术类,101007,卫生检验与检疫,理学,四年,
660,医学技术类,101008T,听力与言语康复学,理学,"五年,四年",
661,医学技术类,101009T,康复物理治疗,理学,四年,2016
662,医学技术类,101010T,康复作业治疗,理学,四年,2016
663,医学技术类,101011T,智能医学工程,工学,四年,2017
664,医学技术类,101012T,生物医药数据科学,理学,四年,2020
665,医学技术类,101013T,智能影像工程,工学,四年,2020
666,医学技术类,101014TK,医工学,工学,四年,2022
667,护理学类,101101,护理学,理学,四年,
668,护理学类,101102T,助产学,理学,四年,2016
669,管理科学与工程类,120101,管理科学,"理学,管理学","五年,四年",
670,管理科学与工程类,120102,信息管理与信息系统,"工学,管理学",四年,
671,管理科学与工程类,120103,工程管理,"工学,管理学",四年,
672,管理科学与工程类,120104,房地产开发与管理,管理学,四年,
673,管理科学与工程类,120105,工程造价,"工学,管理学",四年,
674,管理科学与工程类,120106TK,保密管理,管理学,四年,
675,管理科学与工程类,120107T,邮政管理,管理学,四年,2016
676,管理科学与工程类,120108T,大数据管理与应用,管理学,四年,2017
677,管理科学与工程类,120109T,工程审计,管理学,四年,2017
678,管理科学与工程类,120110T,计算金融,管理学,四年,2018
679,管理科学与工程类,120111T,应急管理,管理学,四年,2019
680,工商管理类,120201K,工商管理,管理学,四年,
681,工商管理类,120202,市场营销,管理学,四年,
682,工商管理类,120203K,会计学,管理学,四年,
683,工商管理类,120204,财务管理,管理学,四年,
684,工商管理类,120205,国际商务,管理学,四年,
685,工商管理类,120206,人力资源管理,管理学,四年,
686,工商管理类,120207,审计学,管理学,四年,
687,工商管理类,120208,资产评估,管理学,四年,
688,工商管理类,120209,物业管理,管理学,四年,
689,工商管理类,120210,文化产业管理,"艺术学,管理学",四年,
690,工商管理类,120211T,劳动关系,管理学,四年,
691,工商管理类,120212T,体育经济与管理,管理学,四年,
692,工商管理类,120213T,财务会计教育,管理学,四年,
693,工商管理类,120214T,市场营销教育,管理学,四年,
694,工商管理类,120215T,零售业管理,管理学,四年,2016
695,工商管理类,120216T,创业管理,管理学,四年,2020
696,工商管理类,120217TK,海关稽查,管理学,四年,2021
697,农业经济管理类,120301,农林经济管理,管理学,四年,
698,农业经济管理类,120302,农村区域发展,"农学,管理学",四年,
699,农业经济管理类,120303TK,乡村治理,管理学,四年,2022
700,公共管理类,120401,公共事业管理,管理学,四年,
701,公共管理类,120402,行政管理,管理学,四年,
702,公共管理类,120403,劳动与社会保障,管理学,四年,
703,公共管理类,120404,土地资源管理,"工学,管理学",四年,
704,公共管理类,120405,城市管理,管理学,四年,
705,公共管理类,120406TK,海关管理,管理学,四年,
706,公共管理类,120407T,交通管理,"工学,管理学",四年,
707,公共管理类,120408T,海事管理,管理学,四年,
708,公共管理类,120409T,公共关系学,管理学,四年,
709,公共管理类,120410T,健康服务与管理,管理学,四年,2015
710,公共管理类,120411TK,海警后勤管理,管理学,四年,2016
711,公共管理类,120412T,医疗产品管理,管理学,四年,2017
712,公共管理类,120413T,医疗保险,管理学,四年,2019
713,公共管理类,120414T,养老服务管理,管理学,四年,2019
714,公共管理类,120415TK,海关检验检疫安全,管理学,四年,2020
715,公共管理类,120416TK,海外安全管理,管理学,四年,2020
716,公共管理类,120417T,自然资源登记与管理,管理学,四年,2020
717,公共管理类,120418T,慈善管理,管理学,四年,2021
718,公共管理类,120419TK,航空安防管理,管理学,四年,2022
719,公共管理类,120420TK,无障碍管理,管理学,四年,2022
720,图书情报与档案管理类,120501,图书馆学,管理学,四年,
721,图书情报与档案管理类,120502,档案学,管理学,四年,
722,图书情报与档案管理类,120503,信息资源管理,管理学,四年,
723,物流管理与工程类,120601,物流管理,管理学,四年,
724,物流管理与工程类,120602,物流工程,"工学,管理学",四年,
725,物流管理与工程类,120603T,采购管理,管理学,四年,
726,物流管理与工程类,120604T,供应链管理,管理学,四年,2017
727,工业工程类,120701,工业工程,"工学,管理学",四年,
728,工业工程类,120702T,标准化工程,管理学,四年,
729,工业工程类,120703T,质量管理工程,管理学,四年,
730,电子商务类,120801,电子商务,"工学,经济学,管理学",四年,
731,电子商务类,120802T,电子商务及法律,管理学,四年,
732,电子商务类,120803T,跨境电子商务,管理学,四年,2019
733,旅游管理类,120901K,旅游管理,管理学,四年,
734,旅游管理类,120902,酒店管理,管理学,四年,
735,旅游管理类,120903,会展经济与管理,管理学,四年,
736,旅游管理类,120904T,旅游管理与服务教育,管理学,四年,
737,艺术学理论类,130101,艺术史论,艺术学,四年,
738,艺术学理论类,130102T,艺术管理,艺术学,四年,2016
739,艺术学理论类,130103T,非物质文化遗产保护,艺术学,四年,2020
740,音乐与舞蹈学类,130201,音乐表演,艺术学,四年,
741,音乐与舞蹈学类,130202,音乐学,艺术学,"四年,五年",
742,音乐与舞蹈学类,130203,作曲与作曲技术理论,艺术学,"四年,五年",
743,音乐与舞蹈学类,130204,舞蹈表演,艺术学,四年,
744,音乐与舞蹈学类,130205,舞蹈学,艺术学,四年,
745,音乐与舞蹈学类,130206,舞蹈编导,艺术学,四年,
746,音乐与舞蹈学类,130207T,舞蹈教育,艺术学,四年,2017
747,音乐与舞蹈学类,130208TK,航空服务艺术与管理,艺术学,四年,2018
748,音乐与舞蹈学类,130209T,流行音乐,艺术学,四年,2018
749,音乐与舞蹈学类,130210T,音乐治疗,艺术学,四年,2018
750,音乐与舞蹈学类,130211T,流行舞蹈,艺术学,四年,2018
751,音乐与舞蹈学类,130212T,音乐教育,艺术学,四年,2020
752,戏剧与影视学类,130301,表演,艺术学,四年,
753,戏剧与影视学类,130302,戏剧学,艺术学,四年,
754,戏剧与影视学类,130303,电影学,艺术学,四年,
755,戏剧与影视学类,130304,戏剧影视文学,艺术学,四年,
756,戏剧与影视学类,130305,广播电视编导,艺术学,四年,
757,戏剧与影视学类,130306,戏剧影视导演,艺术学,四年,
758,戏剧与影视学类,130307,戏剧影视美术设计,艺术学,四年,
759,戏剧与影视学类,130308,录音艺术,艺术学,四年,
760,戏剧与影视学类,130309,播音与主持艺术,艺术学,四年,
761,戏剧与影视学类,130310,动画,艺术学,四年,
762,戏剧与影视学类,130311T,影视摄影与制作,艺术学,四年,
763,戏剧与影视学类,130312T,影视技术,艺术学,四年,2017
764,戏剧与影视学类,130313T,戏剧教育,艺术学,四年,2018
765,戏剧与影视学类,130314TK,曲艺,艺术学,四年,2021
766,戏剧与影视学类,130315TK,音乐剧,艺术学,四年,2021
767,美术学类,130401,美术学,艺术学,四年,
768,美术学类,130402,绘画,艺术学,四年,
769,美术学类,130403,雕塑,艺术学,"五年,四年",
770,美术学类,130404,摄影,艺术学,四年,
771,美术学类,130405T,书法学,艺术学,四年,
772,美术学类,130406T,中国画,艺术学,四年,
773,美术学类,130407TK,实验艺术,艺术学,四年,2013
774,美术学类,130408TK,跨媒体艺术,艺术学,四年,2015
775,美术学类,130409T,文物保护与修复,艺术学,四年,2016
776,美术学类,130410T,漫画,艺术学,四年,2016
777,美术学类,130411T,纤维艺术,艺术学,四年,2020
778,美术学类,130412TK,科技艺术,艺术学,四年,2021
779,美术学类,130413TK,美术教育,艺术学,四年,2021
780,设计学类,130501,艺术设计学,艺术学,四年,
781,设计学类,130502,视觉传达设计,艺术学,四年,
782,设计学类,130503,环境设计,艺术学,四年,
783,设计学类,130504,产品设计,艺术学,四年,
784,设计学类,130505,服装与服饰设计,艺术学,四年,
785,设计学类,130506,公共艺术,艺术学,四年,
786,设计学类,130507,工艺美术,艺术学,四年,
787,设计学类,130508,数字媒体艺术,艺术学,四年,
788,设计学类,130509T,艺术与科技,艺术学,"五年,四年",
789,设计学类,130510TK,陶瓷艺术设计,艺术学,四年,2012
790,设计学类,130511T,新媒体艺术,艺术学,四年,2016
791,设计学类,130512T,包装设计,艺术学,四年,2016
792,设计学类,130513TK,珠宝首饰设计与工艺,艺术学,四年,2021
